median,min,max,overlap,idx
45,44,69,0.99716,1
45,44,66,0.99669,1
45,44,68,0.99549,1
45,44,67,0.99553,1
45,44,65,0.99518,1
45,44,68,0.99745,1
45,44,71,0.9954,1
45,44,71,0.99766,1
45,44,68,0.99567,1
45,44,71,0.99564,1
45,44,68,0.99744,1
45,44,68,0.99723,1
45,44,68,0.99678,1
45,44,68,0.994,1
45,44,65,0.99815,1
45,44,64,0.99627,1
45,44,68,0.9955,1
45,44,66,0.99717,1
45,44,65,0.99746,1
45,44,66,0.99712,1
45,44,70,0.99646,1
45,44,66,0.99353,1
45,44,66,0.99641,1
45,44,69,0.99496,1
45,44,68,0.99652,1
45,44,66,0.99436,1
45,44,71,0.99665,1
45,44,72,0.99715,1
45,44,68,0.99746,1
45,44,65,0.99751,1
45,44,66,0.99749,1
45,44,65,0.99697,1
45,44,69,0.99668,1
45,44,66,0.9972,1
45,44,67,0.99561,1
45,44,66,0.9953,1
45,44,67,0.99674,1
45,44,71,0.99609,1
45,44,66,0.99666,1
45,44,69,0.99757,1
45,44,73,0.99671,1
45,44,65,0.99622,1
45,44,67,0.99647,1
45,44,64,0.99715,1
45,44,68,0.99419,1
45,44,66,0.99718,1
45,44,71,0.99561,1
45,44,68,0.99764,1
45,44,64,0.99583,1
45,44,69,0.99688,1
45,44,73,0.99563,1
45,44,69,0.99613,1
45,44,64,0.99677,1
45,44,65,0.99677,1
45,44,64,0.99624,1
45,44,67,0.99828,1
45,44,65,0.99726,1
45,44,68,0.99633,1
45,44,70,0.99719,1
45,44,67,0.99718,1
45,44,66,0.99627,1
45,44,71,0.99684,1
45,44,66,0.99633,1
45,44,64,0.99663,1
45,44,68,0.99501,1
45,44,67,0.99585,1
45,44,67,0.99736,1
45,44,68,0.99614,1
45,44,65,0.99431,1
45,44,70,0.99613,1
45,44,67,0.99702,1
45,44,67,0.99708,1
45,44,68,0.99562,1
45,44,66,0.99437,1
45,44,65,0.99628,1
45,44,63,0.99764,1
45,44,68,0.99552,1
45,44,67,0.9974,1
45,44,69,0.99515,1
45,44,67,0.99656,1
45,44,68,0.99457,1
45,44,65,0.99575,1
45,44,65,0.99649,1
45,44,68,0.99362,1
45,44,67,0.99672,1
45,44,66,0.99687,1
45,44,67,0.99582,1
45,44,67,0.99621,1
45,44,69,0.99639,1
45,44,69,0.9954,1
45,44,67,0.99663,1
45,44,69,0.99445,1
45,44,66,0.99695,1
45,44,65,0.99581,1
45,44,70,0.99574,1
45,44,68,0.99636,1
45,44,67,0.99625,1
45,44,67,0.99564,1
45,44,65,0.99552,1
45,44,65,0.99696,1
45,44,67,0.99806,1
45,44,66,0.99712,1
45,44,68,0.99582,1
45,44,71,0.99603,1
45,44,68,0.99367,1
